time,t_2,t_4,t_6,t_7.313,t_8,t_10
00:00:00,290,217,177,142,124,60
00:15:00,326,241,177,134,111,62
00:30:00,303,239,180,139,120,70
00:45:00,296,220,152,113,90,49
01:00:00,303,226,154,120,98,42
01:15:00,315,250,180,128,102,47
01:30:00,349,263,202,163,136,67
01:45:00,315,232,168,125,106,42
02:00:00,332,236,156,109,85,33
02:15:00,319,247,180,122,98,37
02:30:00,339,248,164,116,92,44
02:45:00,318,235,174,142,122,58
03:00:00,363,276,204,157,137,73
03:15:00,267,201,143,118,98,48
03:30:00,249,186,141,111,94,42
03:45:00,247,182,131,86,68,26
04:00:00,269,193,133,93,76,37
04:15:00,233,160,93,65,49,23
04:30:00,248,183,141,110,88,40
04:45:00,180,118,75,51,44,14
05:00:00,160,128,99,79,63,39
05:15:00,103,68,40,22,16,4
05:30:00,126,91,68,46,41,13
05:45:00,138,100,69,47,39,21
06:00:00,176,133,92,74,62,34
06:15:00,134,102,81,54,39,16
06:30:00,111,77,57,37,29,11
06:45:00,114,83,58,51,45,29
07:00:00,174,131,90,68,58,34
07:15:00,203,153,116,91,72,40
07:30:00,137,102,75,56,46,20
07:45:00,168,131,81,58,48,25
08:00:00,156,110,82,67,59,29
08:15:00,138,88,58,39,36,22
08:30:00,179,128,80,49,37,13
08:45:00,215,143,102,84,63,29
09:00:00,137,87,53,34,29,15
09:15:00,144,93,49,36,27,7
09:30:00,145,91,48,26,17,5
09:45:00,201,129,85,59,46,15
10:00:00,144,86,47,37,32,12
10:15:00,138,94,65,41,29,12
10:30:00,230,158,103,84,70,28
10:45:00,127,79,46,30,21,7
11:00:00,190,120,76,53,37,18
11:15:00,173,127,93,65,55,23
11:30:00,214,159,113,81,66,31
11:45:00,168,111,70,44,34,11
12:00:00,187,109,67,47,43,20
12:15:00,236,166,118,85,67,35
12:30:00,229,161,120,86,75,37
12:45:00,195,127,85,63,53,26
13:00:00,127,88,48,31,26,10
13:15:00,213,147,106,76,66,37
13:30:00,160,98,68,44,37,18
13:45:00,186,125,86,59,48,28
14:00:00,155,109,68,47,38,19
14:15:00,173,106,65,53,39,16
14:30:00,197,122,74,52,45,24
14:45:00,144,98,68,49,37,18
15:00:00,144,97,71,50,37,9
15:15:00,124,90,66,50,42,24
15:30:00,134,91,63,45,35,13
15:45:00,169,101,68,41,33,16
16:00:00,164,110,71,47,41,19
16:15:00,173,108,65,46,41,16
16:30:00,144,92,54,36,27,10
16:45:00,172,113,77,48,34,10
17:00:00,155,110,77,50,41,21
17:15:00,148,104,81,59,48,27
17:30:00,201,139,91,62,50,24
17:45:00,200,134,90,68,56,20
18:00:00,185,138,92,68,54,22
18:15:00,131,86,63,46,34,20
18:30:00,201,142,97,73,65,36
18:45:00,129,86,53,28,25,10
19:00:00,138,97,65,42,35,10
19:15:00,119,74,51,35,29,10
19:30:00,154,118,74,54,45,21
19:45:00,172,108,71,46,33,14
20:00:00,162,107,69,54,40,13
20:15:00,222,159,110,87,75,31
20:30:00,240,186,115,85,66,27
20:45:00,263,198,147,105,76,29
21:00:00,275,211,149,109,91,33
21:15:00,268,201,140,100,82,47
21:30:00,253,195,141,105,81,35
21:45:00,273,206,137,99,79,36
22:00:00,217,157,111,77,65,22
22:15:00,269,216,152,98,72,24
22:30:00,288,225,171,129,108,54
22:45:00,276,210,142,102,81,39
23:00:00,297,234,175,131,110,56
23:15:00,254,181,137,109,86,38
23:30:00,317,221,134,97,76,25
23:45:00,324,248,184,134,114,53
